No,date,open,high,low,close,volume
323,14/08/2020,181.65,182.36,180.55,181.76,115483
324,17/08/2020,182.36,183.75,181.77,182.96,113532
325,18/08/2020,183.14,184.77,182.02,184.01,129093
326,19/08/2020,184.59,184.99,182.5,182.89,154287
327,20/08/2020,182.77,187.52,182.21,187.15,177557
328,21/08/2020,186.21,188.61,185.64,185.79,207969
329,24/08/2020,187.35,187.97,185.28,186.37,172036
330,25/08/2020,186.04,188.92,185.86,188.8,141913
331,26/08/2020,190.06,193.7,189.58,192.88,251690
332,27/08/2020,194.54,201.6,191.36,197.62,441213
333,28/08/2020,198.92,201.17,197.62,199.65,182106
334,31/08/2020,198.07,199.47,195.64,196.7,177694
335,01/09/2020,196.69,198.38,195.74,198.22,165372
336,02/09/2020,198.78,203.1,198.29,202.04,230759
337,03/09/2020,199.96,200,187.5,189.53,369406
338,04/09/2020,188,190.45,178.96,186.87,389700
339,08/09/2020,180.11,183.18,176.36,176.75,341642
340,09/09/2020,181.06,187.38,180.28,184.28,306146
341,10/09/2020,186.12,187.29,178.02,179.12,237385
342,11/09/2020,180.89,181.96,175.52,177.95,216470
343,14/09/2020,178.16,182.46,177.95,179.16,195698
344,15/09/2020,181.78,182.96,180.48,182.09,131099
345,16/09/2020,183.69,183.72,178.48,178.84,175055
346,17/09/2020,174.48,178.21,174.4,176.97,222096
347,18/09/2020,176.88,177.62,171.17,174.77,346516
348,21/09/2020,171.65,176.8,171.28,176.65,272806
349,22/09/2020,178.85,181.5,176.24,180.91,228462
350,23/09/2020,181.33,181.5,174.46,174.95,206188
351,24/09/2020,174.52,179.29,173.74,177.22,227358
352,25/09/2020,177.53,182.32,176.65,181.26,205721
353,28/09/2020,183.6,185.4,181.47,182.67,230069
354,29/09/2020,182.71,183.22,180.37,180.77,163023
355,30/09/2020,181.09,184.88,180.14,183.45,216418
356,01/10/2020,186,186.64,184.31,185.3,166968
357,02/10/2020,181.41,184.02,179.27,179.84,225493
358,05/10/2020,180.73,183.52,180.52,183.49,139104
359,06/10/2020,182.19,183.32,178.64,179.59,200956
360,07/10/2020,180.59,183.25,180.3,183.01,161136
361,08/10/2020,183.6,184.2,181.69,183.67,142968
362,09/10/2020,184.23,188.27,184.23,188.22,190574
363,12/10/2020,190.73,195.24,189.1,193.1,280931
364,13/10/2020,194.03,196.42,192.26,194.37,199214
365,14/10/2020,194.49,195.56,191.12,192.63,167963
366,15/10/2020,189.2,192.19,188.4,191.58,158517
367,16/10/2020,192.01,193.88,191.29,191.58,169483
368,19/10/2020,192.19,193.89,186.4,186.84,188429
369,20/10/2020,188.19,189.59,185.85,187.22,157168
