,date,open,high,low,close,volume
245,2020-04-24,60.18,61.43,60.13,61.42,942000.0
246,2020-04-27,61.17,61.77,60.77,61.47,866126.0
247,2020-04-28,61.86,62.05,60.39,60.47,802943.0
248,2020-04-29,61.84,62.88,61.62,62.46,925619.0
249,2020-04-30,62.94,63.93,62.59,63.77,1110555.0
250,2020-05-01,62.13,64.90,62.05,62.75,1880906.0
251,2020-05-04,62.77,63.75,62.15,63.64,1026596.0
252,2020-05-05,64.04,65.34,63.92,64.59,1141462.0
253,2020-05-06,65.26,65.82,64.87,65.26,1110909.0
254,2020-05-07,65.80,66.24,65.55,65.93,872539.0
255,2020-05-08,66.52,67.55,66.23,67.50,999601.0
256,2020-05-11,67.06,69.01,66.87,68.56,1121557.0
257,2020-05-12,69.20,69.58,67.67,67.78,1195137.0
258,2020-05-13,67.93,68.77,65.99,66.96,1569216.0
259,2020-05-14,66.31,67.43,65.63,67.37,1232422.0
260,2020-05-15,65.37,67.02,65.34,66.98,1258666.0
261,2020-05-18,68.16,68.89,67.54,68.55,985648.0
262,2020-05-19,68.57,69.33,68.13,68.15,782281.0
263,2020-05-20,68.93,69.54,68.82,69.48,840570.0
264,2020-05-21,69.36,69.84,68.75,68.96,768761.0
265,2020-05-22,68.72,69.48,68.64,69.41,630764.0
266,2020-05-26,70.40,70.57,68.89,68.94,922519.0
267,2020-05-27,68.76,69.37,68.15,69.24,766762.0
268,2020-05-28,68.93,70.40,68.70,69.27,965768.0
269,2020-05-29,69.52,69.90,68.88,69.20,968537.0
270,2020-06-01,69.17,70.16,69.04,70.05,601143.0
271,2020-06-02,69.81,70.40,69.42,70.38,627984.0
272,2020-06-03,70.66,71.00,70.15,70.76,748812.0
273,2020-06-04,70.65,70.87,69.82,70.15,620033.0
274,2020-06-05,70.39,72.20,70.35,72.15,965658.0
275,2020-06-08,71.88,72.61,71.24,72.58,661572.0
276,2020-06-09,72.28,75.22,72.26,74.87,1069206.0
277,2020-06-10,75.72,77.22,75.33,76.80,1278007.0
278,2020-06-11,76.02,76.41,73.02,73.11,1430100.0
279,2020-06-12,75.04,75.70,72.74,73.74,1501810.0
280,2020-06-15,72.51,75.24,72.39,74.65,1021069.0
281,2020-06-16,76.49,76.88,75.03,76.63,1200133.0
282,2020-06-17,77.30,77.35,76.42,76.53,825911.0
283,2020-06-18,76.50,76.93,76.01,76.56,677632.0
284,2020-06-19,77.17,77.61,75.12,76.12,1499799.0
285,2020-06-22,76.48,78.24,76.43,78.11,1008981.0
286,2020-06-23,79.21,81.05,78.85,79.78,1643135.0
287,2020-06-24,79.45,80.27,78.03,78.37,1467575.0
288,2020-06-25,78.51,79.44,77.83,79.41,1041890.0
289,2020-06-26,79.33,79.51,76.84,76.97,1320195.0
290,2020-06-29,76.90,78.83,76.46,78.74,942607.0
291,2020-06-30,78.37,79.66,78.36,79.40,921792.0
292,2020-07-01,79.45,79.96,79.21,79.25,811126.0
293,2020-07-02,80.05,80.64,79.15,79.25,808352.0
294,2020-07-06,80.53,81.79,80.50,81.37,831416.0
295,2020-07-07,81.72,82.41,81.02,81.12,777912.0
